Production,Area,Season_Whole Year ,Crop_Potato,Crop_Onion,Fertilizer,Crop_Tapioca,Fertilizer_per_Area,Crop_Sweet potato,Crop_Mesta,Crop_Ginger,Crop_Rice,Yield
10.945688207278277,11.209317241968188,True,False,False,15.764968602929914,False,1.2912244223403062,False,False,False,False,0.796
8.452334619067742,8.80056599227992,False,False,False,13.356081682400973,False,1.3627867709805532,False,False,False,False,0.71
3.1354942159291497,6.680854678790215,False,False,False,11.235277152234566,False,1.4627639269441557,False,False,False,False,0.238
18.43423228286143,9.8861887879578,True,False,False,14.441803214855376,False,1.326617009511241,False,False,False,False,5.0725
6.678342114654332,7.461640392208575,False,False,False,12.016736322693353,False,1.4201426396893782,False,False,False,False,0.421
9.113168460223909,9.516942329280475,True,False,False,14.07253427165875,False,1.3380822896098865,False,False,False,False,0.644
7.318539548567902,7.99967857949945,False,False,False,12.555011245985966,False,1.39505107155552,False,False,False,False,0.465
13.714690828426322,11.456577311016355,False,False,False,16.012231608552174,False,1.285443923218882,False,False,False,False,5.0725
8.54849804124465,9.220191688026556,False,False,False,13.77575847005643,False,1.3478962910446572,False,False,False,False,0.461
9.59709825261865,9.863550582932428,False,False,False,14.419163857214487,False,1.32729753013423,False,False,False,False,0.616
10.275189030491484,8.68541582383069,False,False,False,13.240913318913227,False,1.3670980740273782,False,True,False,False,4.569
8.532475814947395,9.201804040953895,True,False,False,13.757369004530345,False,1.3485231581887938,False,False,False,False,0.482
9.795011076200044,8.96610085736724,True,False,True,13.52163929190668,False,1.3567632402506824,False,False,False,False,2.343
10.972894143280692,11.592641965597878,False,False,False,16.148297594883598,False,1.2823597811324658,False,False,False,False,0.521
13.417823125171918,11.228704064147427,True,True,False,15.784355682490624,False,1.290762749649637,False,False,False,False,5.0725
11.94971480632042,12.540016688962552,False,False,False,17.0956779121931,False,1.2626039025586302,False,False,False,False,0.555
12.894990896760085,13.31687532849232,False,False,False,17.8725384654029,False,1.2483546902049485,False,False,False,True,0.781
12.253070728690757,12.07239838555774,False,False,False,16.628057496575355,False,1.2719974564840275,False,False,False,True,1.06
14.314646320771514,14.37130304639584,False,False,False,18.92696724507055,False,1.2313183331265087,False,False,False,True,0.941
9.018937706446035,9.665611001619853,True,False,False,14.221213004572094,False,1.3333706810057324,False,False,False,False,0.487
8.592671652592143,9.258273025731484,False,False,False,13.813843469143576,False,1.3466051677990465,False,False,False,False,0.473
14.068175629271655,10.351980221114813,False,False,False,14.907613392699924,False,1.313216998473235,False,False,False,False,5.0725
10.39265021966586,9.14644164612595,True,False,False,13.702000928287823,False,1.3504242577021506,True,False,False,False,3.44
9.369819686521504,7.81035268372429,True,False,False,12.365616115234664,True,1.40353247584267,False,False,False,False,4.418
