Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,Avg_Temperature,Max_Temperature,Min_Temperature
Sugarcane,1997,Whole Year ,Karnataka,12.640636903330266,17.182781215220125,1266.7,17.19629846569607,11.469461128370236,5.0725,25.766,35.922,16.838
Turmeric,1997,Whole Year ,Karnataka,8.376320632534823,10.0903404937493,1266.7,12.931757536490283,7.205650024110084,4.453,25.766,35.922,16.838
Wheat,1997,Rabi       ,Karnataka,12.432008295307156,11.682777938181559,1266.7,16.9876691144493,11.260834192166595,0.548,25.766,35.922,16.838
Arecanut,1997,Whole Year ,Kerala,11.240407829038219,11.45100750715524,3252.4,15.796059600363504,10.069254077881205,1.148,25.314,32.314,19.755
Black pepper,1997,Whole Year ,Kerala,12.06598264935125,10.924516606545858,3252.4,16.621641723970708,10.894812470352697,0.241,25.314,32.314,19.755
Cashewnut,1997,Whole Year ,Kerala,11.472874006843877,11.21375093987313,3252.4,16.02852847360071,10.301714192698059,0.589,25.314,32.314,19.755
Coconut ,1997,Whole Year ,Kerala,13.692602536976883,18.43423228286143,3252.4,18.24826618416179,12.521422072369099,5.0725,25.314,32.314,19.755
Tapioca,1997,Whole Year ,Kerala,11.79717164148611,14.859955249954295,3252.4,16.352828960806676,10.626005410847199,5.0725,25.314,32.314,19.755
Arecanut,1997,Whole Year ,Meghalaya,9.166388484447,9.402364704231523,3818.2,13.721949849941382,7.995438057557521,1.246,18.57,26.645,10.664
Arhar/Tur,1997,Kharif     ,Meghalaya,6.763884908562435,6.52795791762255,3818.2,11.318406420356077,5.5952688450069665,0.807,18.57,26.645,10.664
Banana,1997,Whole Year ,Meghalaya,8.564076777315087,11.05108046342586,3818.2,13.119552691123763,7.393318477845551,5.0725,18.57,26.645,10.664
Castor seed,1997,Rabi       ,Meghalaya,3.4339872044851463,2.772588722239781,3818.2,7.957212336852101,2.33214389523559,0.49,18.57,26.645,10.664
Cotton(lint),1997,Kharif     ,Meghalaya,8.928640371201949,8.628913441026645,3818.2,13.48417398322702,7.7577523503623675,0.797,18.57,26.645,10.664
Dry chillies,1997,Whole Year ,Meghalaya,7.4770384723196965,7.009408932708637,3818.2,12.032143097124495,6.307114350893783,0.64,18.57,26.645,10.664
Ginger,1997,Kharif     ,Meghalaya,8.90354343566472,10.720201013508184,3818.2,13.459073714248863,7.732662909973753,5.0725,18.57,26.645,10.664
Gram,1997,Rabi       ,Meghalaya,6.095824562432225,5.602118820879701,3818.2,10.649258254838777,4.929642134886724,0.613,18.57,26.645,10.664
Jute,1997,Kharif     ,Meghalaya,8.353261499733874,10.454033764497051,3818.2,12.908693087718314,7.182602840328679,5.0725,18.57,26.645,10.664
Linseed,1997,Kharif     ,Meghalaya,3.9318256327243257,3.1354942159291497,3818.2,8.46789789969136,2.803360380906535,0.44,18.57,26.645,10.664
Maize,1997,Kharif     ,Meghalaya,9.751268339558617,10.121779353119313,3818.2,14.306875494965757,8.580214937832395,1.444,18.57,26.645,10.664
