Yield
2.86
2.61
0.447
1.171
0.536
1.585
1.938
0.389
0.247
0.584
3.046
2.848
0.773
1.748
1.798
0.911
1.602
1.62
1.05
3.161
0.831
0.604
0.821
0.372
0.583
0.885
1.9
1.834
0.31
0.709
5.0725
2.141
0.12
0.987
0.401
0.198
0.86
1.99
4.774
5.0725
0.74
1.887
0.592
2.852
1.623
0.515
5.0725
0.708
0.739
0.408
3.63
0.117
5.0725
5.0725
0.404
0.55
5.0725
0.182
1.511
1.261
1.002
0.621
0.552
0.396
2.853
0.78
1.531
1.267
4.423
5.0725
0.689
5.0725
2.36
5.0725
5.0725
0.551
0.658
0.683
0.457
1.66
0.721
1.993
0.385
3.759
0.533
0.412
0.363
0.775
0.802
0.346
0.33
1.417
0.939
0.293
0.73
3.143
1.325
5.0725
0.8
0.79
1.101
0.726
0.298
2.021
2.493
5.0725
0.191
1.409
0.406
2.75
0.882
0.5
0.835
2.896
1.36
0.843
1.258
0.806
5.0725
5.0725
0.606
5.0725
0.179
0.677
0.36
0.56
1.206
1.758
0.414
1.409
0.21
5.0725
0.583
1.106
0.857
0.897
5.0725
2.396
1.275
0.58
5.0725
5.0725
0.87
1.492
0.688
2.172
0.798
0.64
5.0725
0.974
0.787
0.971
0.699
0.707
5.0725
0.177
0.774
0.881
0.544
0.738
1.058
5.0725
1.477
0.75
0.56
0.582
4.406
0.811
1.39
5.0725
3.46
1.049
0.723
0.51
2.288
1.433
0.675
5.0725
5.0725
2.705
2.312
1.098
0.813
0.0
0.689
0.94
5.0725
1.314
0.461
0.699
0.584
5.0725
0.756
0.393
0.98
5.0725
5.0725
1.422
3.977
0.5
2.124
0.429
0.876
2.849
5.0725
1.429
5.0725
1.507
0.69
1.801
0.321
0.583
1.817
1.143
1.783
0.565
1.938
1.211
1.285
3.127
0.67
0.644
0.228
1.01
5.0725
1.12
0.184
0.807
1.17
0.523
0.79
0.417
3.0
0.938
0.379
1.659
0.169
0.978
5.0725
1.002
2.602
0.247
0.951
0.766
3.606
1.534
0.581
1.718
